user_id,first_credit_date,current_date,income_records,login_records,unusual_operations,total_debt,total_income,consumption_records,loan_records,credit_grade
99,2010-04-09,2023-10-15,"[3491, 6912, 2892]","[18, 4, 15]",[],3080.06,33350.28,"[616, 110, 262]",[28982],1
100,2010-04-10,2023-10-15,"[2421, 2051, 5541]","[5, 3, 9]",[],4469.39,26029.54,"[77, 544, 515]",[3521],0
101,2010-04-11,2023-10-15,"[2450, 5821, 3768]","[13, 12, 14]",[],2144.45,28046.24,"[969, 586, 673]",[45611],0
102,2010-04-12,2023-10-15,"[5493, 4585, 4713]","[2, 14, 7]",[],4840.59,18043.09,"[511, 952, 709]",[],0
103,2010-04-13,2023-10-15,"[6182, 7506, 2655]","[3, 9, 18]",[],1884.38,19495.3,"[636, 566, 907]",[],0
104,2010-04-14,2023-10-15,"[3671, 6230, 5627]","[17, 3, 13]",[],2227.91,29897.88,"[378, 894, 365]",[],0
105,2010-04-15,2023-10-15,"[5727, 6883, 3376]","[18, 11, 5]",[],2631.89,13703.55,"[675, 79, 932]",[],1
106,2010-04-16,2023-10-15,"[5683, 2563, 4008]","[11, 4, 17]",[],6940.78,23663.38,"[911, 505, 999]",[],0
107,2010-04-17,2023-10-15,"[5797, 6847, 3034]","[15, 11, 13]",[],1815.3,25293.05,"[198, 101, 821]",[],0
108,2010-04-18,2023-10-15,"[5179, 4529, 6585]","[2, 14, 6]",[],2964.35,20365.21,"[524, 840, 199]",[],0
109,2010-04-19,2023-10-15,"[4001, 7523, 6472]","[7, 1, 19]",[],2683.63,20144.13,"[383, 725, 218]",[],0
110,2010-04-20,2023-10-15,"[6823, 2123, 2940]","[3, 1, 13]",[],3741.58,20732.15,"[302, 184, 388]",[49880],0
111,2010-04-21,2023-10-15,"[7580, 3107, 3417]","[3, 8, 10]",[],2108.85,26346.25,"[697, 279, 557]",[],0
112,2010-04-22,2023-10-15,"[3173, 3955, 3695]","[12, 1, 1]",[],2820.27,15739.48,"[237, 790, 745]",[],0
113,2010-04-23,2023-10-15,"[7603, 7566, 6390]","[11, 3, 3]",[],2344.92,28504.88,"[175, 824, 878]",[],0
114,2010-04-24,2023-10-15,"[2530, 6618, 4700]","[18, 7, 9]",[],6763.14,23374.52,"[576, 683, 296]",[],0
115,2010-04-25,2023-10-15,"[6739, 2264, 3842]","[4, 13, 1]",[],2123.09,23982.24,"[949, 87, 788]",[13583],0
116,2010-04-26,2023-10-15,"[2638, 7449, 5017]","[4, 19, 14]",[],2964.68,19610.87,"[561, 528, 825]",[],0
117,2010-04-27,2023-10-15,"[2518, 6021, 5411]","[8, 16, 6]",['suspicious_login'],3147.0,38735.25,"[265, 789, 987]",[],1
118,2010-04-28,2023-10-15,"[7004, 5613, 5024]","[9, 2, 12]",['suspicious_login'],5058.61,17740.09,"[875, 957, 744]",[],1
119,2010-04-29,2023-10-15,"[7679, 2904, 6993]","[1, 9, 2]",[],2002.97,15024.29,"[283, 924, 663]",[],0
120,2010-04-30,2023-10-15,"[5650, 6583, 2849]","[2, 1, 12]",['suspicious_login'],1245.25,17304.12,"[538, 357, 883]",[31005],0
121,2010-05-01,2023-10-15,"[7335, 5593, 3507]","[18, 10, 11]",[],1730.4,39186.23,"[311, 291, 183]",[],0
122,2010-05-02,2023-10-15,"[2690, 2962, 7592]","[19, 6, 11]",[],2551.67,33001.92,"[891, 144, 366]",[11541],0
123,2010-05-03,2023-10-15,"[4432, 4557, 2373]","[14, 8, 5]",[],2727.65,25771.83,"[839, 576, 87]",[],0
124,2010-05-04,2023-10-15,"[2429, 3931, 4149]","[11, 3, 16]",[],4745.75,16928.92,"[234, 460, 693]",[43439],0
125,2010-05-05,2023-10-15,"[4063, 3953, 6797]","[11, 18, 13]",[],1114.71,22952.08,"[397, 269, 98]",[],0
126,2010-05-06,2023-10-15,"[3294, 6607, 3712]","[18, 13, 5]",[],4179.25,9365.78,"[999, 197, 781]",[],0
127,2010-05-07,2023-10-15,"[5680, 5212, 3812]","[15, 19, 1]",[],1757.85,19281.15,"[799, 904, 754]",[],0
128,2010-05-08,2023-10-15,"[7978, 5940, 5759]","[16, 14, 11]",[],3167.98,33821.52,"[460, 345, 76]",[],0
129,2010-05-09,2023-10-15,"[2201, 4362, 3698]","[7, 16, 11]",['suspicious_login'],3817.63,20164.21,"[190, 89, 77]",[],0
130,2010-05-10,2023-10-15,"[7022, 4336, 7555]","[10, 12, 14]",[],1837.18,23691.5,"[998, 456, 198]",[],1
131,2010-05-11,2023-10-15,"[4336, 7538, 7611]","[5, 18, 6]",[],3786.94,18705.29,"[395, 470, 763]",[26749],1
132,2010-05-12,2023-10-15,"[4027, 6323, 6588]","[4, 19, 1]",[],1158.92,19748.49,"[821, 984, 693]",[],0
133,2010-05-13,2023-10-15,"[5352, 3314, 3890]","[5, 16, 13]",[],2498.65,15252.89,"[581, 587, 829]",[],1
134,2010-05-14,2023-10-15,"[7490, 7383, 6036]","[19, 12, 5]",[],4049.92,16864.7,"[829, 167, 992]",[],0
135,2010-05-15,2023-10-15,"[7393, 2038, 2898]","[2, 12, 16]",[],4373.76,23160.5,"[881, 111, 864]",[],0
136,2010-05-16,2023-10-15,"[2258, 4304, 2475]","[13, 16, 17]",[],2867.96,22435.89,"[76, 716, 53]",[],0
137,2010-05-17,2023-10-15,"[2294, 4682, 3959]","[13, 13, 2]",[],3547.25,30746.9,"[840, 105, 233]",[],0
138,2010-05-18,2023-10-15,"[2446, 3460, 7699]","[1, 8, 5]",['suspicious_login'],808.79,32074.77,"[316, 240, 434]",[],0
139,2010-05-19,2023-10-15,"[6126, 5069, 7909]","[19, 16, 7]",['suspicious_login'],1391.21,39377.58,"[942, 55, 833]",[],0
140,2010-05-20,2023-10-15,"[5366, 4774, 7035]","[18, 8, 2]",[],4244.47,18134.84,"[193, 487, 620]",[],0
141,2010-05-21,2023-10-15,"[2380, 5095, 6593]","[9, 16, 17]",[],1531.78,17796.15,"[565, 437, 985]",[],0
142,2010-05-22,2023-10-15,"[7461, 3385, 3283]","[11, 11, 8]",[],4618.12,27822.34,"[552, 581, 750]",[17250],0
143,2010-05-23,2023-10-15,"[6912, 5495, 6048]","[10, 18, 2]",[],1930.79,17319.07,"[382, 193, 516]",[9208],0
144,2010-05-24,2023-10-15,"[2294, 7564, 5485]","[16, 4, 1]",[],6799.08,21443.47,"[649, 396, 134]",[],0
145,2010-05-25,2023-10-15,"[3420, 4834, 7800]","[18, 1, 19]",[],1735.09,27475.98,"[715, 897, 463]",[],0
146,2010-05-26,2023-10-15,"[5565, 6835, 5947]","[1, 17, 16]",[],8440.41,25702.12,"[71, 969, 252]",[26458],0
147,2010-05-27,2023-10-15,"[6312, 6205, 2883]","[6, 5, 13]",[],2609.83,24601.44,"[616, 329, 848]",[],1
148,2010-05-28,2023-10-15,"[7344, 3896, 4936]","[17, 13, 17]",[],2991.71,17649.6,"[136, 844, 563]",[29849],0
149,2010-05-29,2023-10-15,"[4233, 4310, 2153]","[12, 15, 16]",[],2951.81,27090.23,"[634, 707, 895]",[],0
150,2010-05-30,2023-10-15,"[5609, 2842, 6474]","[18, 13, 13]",[],4430.6,30158.8,"[662, 164, 473]",[19548],0
151,2010-05-31,2023-10-15,"[6841, 2449, 6423]","[18, 15, 6]",[],2491.64,19783.97,"[843, 950, 690]",[],1
152,2010-06-01,2023-10-15,"[6671, 3760, 2708]","[10, 9, 3]",[],3758.78,35022.86,"[407, 327, 281]",[],0
153,2010-06-02,2023-10-15,"[6253, 2010, 3761]","[7, 7, 11]",[],6391.17,14670.55,"[546, 843, 133]",[],0
154,2010-06-03,2023-10-15,"[4667, 6808, 7030]","[5, 4, 13]",[],3187.26,15380.98,"[803, 899, 337]",[36486],0
155,2010-06-04,2023-10-15,"[4517, 4599, 3600]","[2, 19, 9]",[],1069.28,18133.18,"[241, 585, 705]",[35795],0
156,2010-06-05,2023-10-15,"[2571, 6922, 7124]","[13, 1, 5]",[],1545.0,14806.34,"[454, 56, 397]",[],0
157,2010-06-06,2023-10-15,"[6115, 4825, 2354]","[13, 6, 1]",[],4979.15,32718.87,"[146, 648, 115]",[],0
158,2010-06-07,2023-10-15,"[6582, 4298, 4201]","[19, 10, 7]",[],3322.73,21957.35,"[851, 804, 185]",[44238],0
159,2010-06-08,2023-10-15,"[6476, 5751, 4539]","[1, 9, 9]",[],2539.72,19977.77,"[902, 999, 851]",[],0
160,2010-06-09,2023-10-15,"[4386, 4306, 6522]","[19, 5, 14]",[],6914.0,16791.88,"[736, 922, 584]",[],0
161,2010-06-10,2023-10-15,"[7034, 7501, 2206]","[10, 17, 19]",[],4830.08,32229.96,"[505, 73, 769]",[],0
162,2010-06-11,2023-10-15,"[6674, 6628, 6293]","[3, 12, 18]",[],2655.82,29675.26,"[944, 122, 445]",[49787],0
163,2010-06-12,2023-10-15,"[3581, 4002, 7376]","[10, 16, 6]",[],2287.1,28245.13,"[362, 518, 725]",[4143],0
164,2010-06-13,2023-10-15,"[2042, 2827, 4741]","[1, 14, 17]",[],5052.06,19362.63,"[959, 86, 442]",[41999],1
165,2010-06-14,2023-10-15,"[6993, 5333, 4437]","[17, 7, 16]",[],1525.97,22151.63,"[347, 576, 307]",[],0
166,2010-06-15,2023-10-15,"[5641, 5677, 7582]","[18, 5, 2]",[],1226.57,23070.25,"[286, 970, 165]",[46178],1
167,2010-06-16,2023-10-15,"[7572, 2867, 5714]","[6, 14, 13]",['suspicious_login'],2662.32,25087.45,"[106, 638, 695]",[],1
168,2010-06-17,2023-10-15,"[2048, 3590, 4936]","[8, 14, 1]",[],8162.96,21802.17,"[318, 970, 336]",[],0
169,2010-06-18,2023-10-15,"[2998, 4496, 3829]","[13, 2, 4]",['suspicious_login'],3047.85,18062.26,"[800, 478, 215]",[9660],1
170,2010-06-19,2023-10-15,"[7735, 4277, 6219]","[13, 19, 12]",['suspicious_login'],2840.48,24740.97,"[293, 852, 379]",[],0
171,2010-06-20,2023-10-15,"[6874, 6292, 3727]","[10, 1, 17]",['suspicious_login'],4607.27,26573.71,"[885, 690, 67]",[16020],1
172,2010-06-21,2023-10-15,"[3964, 5445, 3792]","[9, 6, 14]",['suspicious_login'],4444.23,22948.54,"[422, 325, 466]",[47641],0
173,2010-06-22,2023-10-15,"[6706, 4105, 7562]","[9, 7, 6]",[],2859.52,32979.03,"[626, 978, 121]",[],0
174,2010-06-23,2023-10-15,"[5878, 3655, 2332]","[7, 15, 11]",[],3708.2,22603.39,"[474, 515, 962]",[],1
175,2010-06-24,2023-10-15,"[4179, 4505, 7621]","[14, 13, 19]",[],3282.14,28619.83,"[100, 800, 950]",[44150],0
176,2010-06-25,2023-10-15,"[4028, 4047, 5032]","[5, 16, 8]",[],3350.28,14849.14,"[415, 261, 907]",[34116],1
177,2010-06-26,2023-10-15,"[2897, 2286, 6362]","[15, 1, 19]",[],5103.74,23840.46,"[931, 148, 330]",[],0
178,2010-06-27,2023-10-15,"[6275, 4664, 2050]","[10, 12, 19]",[],3545.25,19175.15,"[580, 895, 149]",[],0
179,2010-06-28,2023-10-15,"[2513, 4906, 3760]","[10, 3, 19]",[],2401.48,15256.52,"[274, 100, 224]",[],0
180,2010-06-29,2023-10-15,"[5588, 7397, 6910]","[4, 9, 14]",[],3090.22,21577.78,"[844, 624, 857]",[],1
181,2010-06-30,2023-10-15,"[3671, 5828, 3645]","[14, 18, 12]",[],2223.68,20745.59,"[516, 991, 476]",[],0
182,2010-07-01,2023-10-15,"[5659, 3730, 7681]","[6, 17, 19]",[],4199.67,20210.04,"[947, 389, 424]",[25774],0
183,2010-07-02,2023-10-15,"[5271, 4226, 4719]","[10, 8, 15]",[],3387.93,14960.31,"[301, 846, 823]",[],0
184,2010-07-03,2023-10-15,"[3121, 7856, 5479]","[19, 4, 2]",[],3081.72,19668.94,"[362, 63, 229]",[],0
185,2010-07-04,2023-10-15,"[4898, 2703, 3854]","[19, 6, 7]",[],2838.75,20814.11,"[521, 608, 332]",[28808],1
186,2010-07-05,2023-10-15,"[5167, 2477, 7640]","[8, 4, 17]",[],2371.78,13950.96,"[760, 744, 239]",[],0
187,2010-07-06,2023-10-15,"[2920, 6673, 3379]","[17, 13, 3]",[],2552.69,29963.29,"[664, 319, 598]",[14793],0
188,2010-07-07,2023-10-15,"[7263, 5369, 4511]","[5, 12, 11]",[],1868.06,20657.29,"[203, 81, 706]",[32236],1
189,2010-07-08,2023-10-15,"[5431, 6618, 7711]","[3, 1, 18]",[],2569.57,30134.57,"[746, 858, 585]",[],0
190,2010-07-09,2023-10-15,"[6027, 2523, 3156]","[15, 4, 2]",[],5212.74,35146.06,"[181, 339, 675]",[44724],0
191,2010-07-10,2023-10-15,"[2479, 2771, 2533]","[5, 1, 18]",[],1805.08,24403.89,"[584, 364, 364]",[],0
192,2010-07-11,2023-10-15,"[2267, 6324, 3637]","[10, 9, 11]",[],7444.79,19675.44,"[657, 338, 878]",[],0
193,2010-07-12,2023-10-15,"[4994, 5844, 4597]","[5, 10, 13]",[],2944.95,23998.11,"[406, 434, 405]",[],0
194,2010-07-13,2023-10-15,"[3161, 2820, 6566]","[9, 4, 4]",[],5137.42,22971.55,"[365, 888, 924]",[],1
195,2010-07-14,2023-10-15,"[6922, 6420, 4971]","[19, 11, 4]",[],3475.72,24353.93,"[102, 563, 597]",[],0
196,2010-07-15,2023-10-15,"[7536, 6305, 7212]","[7, 1, 2]",[],4683.08,37048.66,"[177, 958, 841]",[],0
197,2010-07-16,2023-10-15,"[7991, 3803, 6394]","[2, 4, 18]",[],3118.62,20306.14,"[562, 491, 816]",[],0
198,2010-07-17,2023-10-15,"[5579, 7991, 5505]","[2, 13, 19]",[],9585.41,24892.49,"[530, 947, 802]",[],0
199,2010-07-18,2023-10-15,"[3760, 6640, 3154]","[3, 9, 19]",[],4401.12,23363.58,"[901, 946, 247]",[],0
200,2010-07-19,2023-10-15,"[6463, 7784, 6228]","[11, 12, 18]",[],9988.69,22148.72,"[505, 541, 440]",[],0
201,2010-07-20,2023-10-15,"[4334, 6272, 6117]","[14, 1, 7]",[],2324.1,19220.43,"[74, 547, 607]",[23007],0
202,2010-07-21,2023-10-15,"[5236, 7131, 4830]","[17, 5, 4]",[],3926.19,29416.57,"[792, 441, 751]",[],1
203,2010-07-22,2023-10-15,"[4575, 7931, 2137]","[18, 8, 19]",[],1555.15,22640.0,"[792, 347, 246]",[25637],1
